DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,UNIT_MEASURE:Unit of measure,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1915-10-31,F:Free,,A:Normal value,4.677708
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1915-11-30,F:Free,,A:Normal value,4.723568
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1915-12-31,F:Free,,A:Normal value,4.723568
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1916-01-31,F:Free,,A:Normal value,4.769428
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1916-02-29,F:Free,,A:Normal value,4.769428
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1916-03-31,F:Free,,A:Normal value,4.815288
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1916-04-30,F:Free,,A:Normal value,4.861148
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1916-05-31,F:Free,,A:Normal value,4.907008
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1916-06-30,F:Free,,A:Normal value,4.952868
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1916-07-31,F:Free,,A:Normal value,4.952868
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1916-08-31,F:Free,,A:Normal value,4.998727
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1916-09-30,F:Free,,A:Normal value,5.090447
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1916-10-31,F:Free,,A:Normal value,5.182167
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1916-11-30,F:Free,,A:Normal value,5.273887
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1916-12-31,F:Free,,A:Normal value,5.319747
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1917-01-31,F:Free,,A:Normal value,5.365606
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1917-02-28,F:Free,,A:Normal value,5.503186
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1917-03-31,F:Free,,A:Normal value,5.503186
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1917-04-30,F:Free,,A:Normal value,5.778345
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1917-05-31,F:Free,,A:Normal value,5.870065
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1917-06-30,F:Free,,A:Normal value,5.961785
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1917-07-31,F:Free,,A:Normal value,5.870065
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1917-08-31,F:Free,,A:Normal value,5.961785
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1917-09-30,F:Free,,A:Normal value,6.099365
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1917-10-31,F:Free,,A:Normal value,6.191084
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1917-11-30,F:Free,,A:Normal value,6.191084
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1917-12-31,F:Free,,A:Normal value,6.282804
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1918-01-31,F:Free,,A:Normal value,6.420384
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1918-02-28,F:Free,,A:Normal value,6.466244
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1918-03-31,F:Free,,A:Normal value,6.420384
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1918-04-30,F:Free,,A:Normal value,6.512104
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1918-05-31,F:Free,,A:Normal value,6.649683
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1918-06-30,F:Free,,A:Normal value,6.741403
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1918-07-31,F:Free,,A:Normal value,6.924843
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1918-08-31,F:Free,,A:Normal value,7.062422
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1918-09-30,F:Free,,A:Normal value,7.200002
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1918-10-31,F:Free,,A:Normal value,7.337581
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1918-11-30,F:Free,,A:Normal value,7.475161
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1918-12-31,F:Free,,A:Normal value,7.566881
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1919-01-31,F:Free,,A:Normal value,7.566881
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1919-02-28,F:Free,,A:Normal value,7.429301
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1919-03-31,F:Free,,A:Normal value,7.521021
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1919-04-30,F:Free,,A:Normal value,7.658601
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1919-05-31,F:Free,,A:Normal value,7.75032
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1919-06-30,F:Free,,A:Normal value,7.75032
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1919-07-31,F:Free,,A:Normal value,7.97962
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1919-08-31,F:Free,,A:Normal value,8.1172
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1919-09-30,F:Free,,A:Normal value,8.163059
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1919-10-31,F:Free,,A:Normal value,8.300639
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1919-11-30,F:Free,,A:Normal value,8.484079
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1919-12-31,F:Free,,A:Normal value,8.667518
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1920-01-31,F:Free,,A:Normal value,8.850958
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1920-02-29,F:Free,,A:Normal value,8.942677
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1920-03-31,F:Free,,A:Normal value,9.034397
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1920-04-30,F:Free,,A:Normal value,9.309557
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1920-05-31,F:Free,,A:Normal value,9.447136
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1920-06-30,F:Free,,A:Normal value,9.584716
